Borough Code,Borough Name,AvPTAI2015,PTAL,RENT
E09000001,City of London,90.802508,7,75.5
E09000002,Barking and Dagenham,5.58373,2,259.75
E09000003,Barnet,5.54233,2,1321.5
E09000004,Bexley,4.552927,1,238.25
E09000005,Brent,9.223249,2,889.5
E09000006,Bromley,3.592084,1,469.75
E09000007,Camden,24.316782,5,1563.5
E09000008,Croydon,6.757744,2,741.25
E09000009,Ealing,8.50351,2,1188.75
E09000010,Enfield,4.627966,1,751.75
E09000011,Greenwich,8.37817,2,466.75
E09000012,Hackney,17.478762,4,798.75
E09000013,Hammersmith and Fulham,16.325973,4,1058.25
E09000014,Haringey,12.614837,3,736
E09000015,Harrow,5.822306,2,646
E09000016,Havering,2.747859,1,298.25
E09000017,Hillingdon,3.561241,1,745.5
E09000018,Hounslow,5.842208,2,853.25
E09000019,Islington,26.667566,6,975
E09000020,Kensington and Chelsea,23.262691,5,1466.75
E09000021,Kingston upon Thames,5.425275,2,452.25
E09000022,Lambeth,22.239912,5,1199.5
E09000023,Lewisham,12.590368,3,601.25
E09000024,Merton,8.561352,2,761.5
E09000025,Newham,11.079336,3,690.25
E09000026,Redbridge,5.73344,2,587.5
E09000027,Richmond upon Thames,4.896334,1,529.75
E09000028,Southwark,20.513884,5,802
E09000029,Sutton,5.396992,2,345
E09000030,Tower Hamlets,18.53287,4,1333.25
E09000031,Waltham Forest,7.831742,2,564.25
E09000032,Wandsworth,13.973088,3,1582.5
E09000033,Westminster,39.750796,6,1938.5
